COLOR CODE,COLOR NAME,HEX VALUE
L048,Rose Purple,#E66EAF
L797,Deep Purple,#AF0096
L049,Medium Purple,#BE0091
L126,Mauve,#BE009B
L798,Chrysalis Pink,#A000BE
L701,Provence,#B45ADC
L345,Fuchsia Pink,#CD6ED7
L703,Cold Lavender,#D282DC
L052,Light Lavender,#E6AAFA
L704,Lily,#F0AAFA
L170,Deep Lavender,#E6AADC
L136,Pale Lavender,#F0BEE6
L169,Lilac Tint,#FADCF0
L702,Special Pale Lavender,#E6D2F0
L137,Special Lavender,#C8B4E6
L194,Surprise Pink,#BE8CF0
L058,Lavender,#B46EF0
L180,Dark Lavender,#A064E6
L343,Special Medium Lavender,#8C00D2
L700,Perfect Lavender,#7D00CD
L181,Congo Blue,#5000AA
L707,Ultimate Violet,#6400B4
L706,King Fals Lavender,#6E46C8
L709,Electric Lilac,#C8C8FA
L142,Pale Violet,#AAAAF0
L199,Regal Blue,#6464E6
L508,Midnight Maya,#5A46C3
L799,Special KH Lavender,#3C00B4
L071,Tokyo Blue,#0000B4
L713,J.Winter Blue,#003CA0
L710,Spir Special Blue,#8CA0F0
L198,Palace Blue,#6478C8
L716,Mikkel Blue,#0064D2
L195,Zenith Blue,#006ED2
L715,Cabana Blue,#3C6EDC
L723,Virgin Blue,#5082DC
L721,Berry Blue,#0082E6
L120,Deep Blue,#005FBE
L363,Special Medium Blue,#006EC3
L085,Deeper Blue,#006EB9
L119,Dark Blue,#0078C8
L722,Bray Blue,#008CD2
L079,Just Blue,#3C8CD2
L714,Elysian Blue,#5A91D2
L075,Evening Blue,#64A0F0
L525,Argent Blue,#8EB4FA
L197,Alice Blue,#82AAE6
L712,Bedford Blue,#A0BEF0
L200,Double CTB,#91BEF5
L719,Colour Wash Blue,#9BC3F0
L711,Cold Blue,#AABEDC
L500,Double New Colour Blue,#B4D2FF
L501,New Colour Blue (Robertson Blue),#D7EBFA
L708,Cool Lavender,#DCEBFA
L053,Paler Lavender,#E6E6FA
L502,Half New Colour Blue,#E1F0FF
L503,Quarter New Colour Blue,#F4FAFF
L203,Quarter CTB,#EBFCFF
L600,Arctic White,#98a8aa
L601,Silver,#90a0a0
L061,Mist Blue,#DCF5FF
L063,Pale Blue,#D2F5FF
L202,Half CTB,#D7F0FF
L281,Three Quarter CTB,#CDE6FA
L201,Full CTB,#C3E1FA
L283,One and a Half CTB,#AFD9F5
L366,Cornflower,#AAD2F0
L174,Dark Steel Blue,#AFE1FA
L161,Slate Blue,#7DD2F5
L068,Sky Blue,#46B4F0
L132,Medium Blue,#00A0DC
L165,Daylight Blue,#5AC8EB
L352,Glacier Blue,#5AC8E1
L143,Pale Navy Blue,#64BED2
L196,True Blue,#78D2E6
L727,QFD Blue,#00A5B4
L141,Bright Blue,#00D2E6
L183,Moonlight Blue,#00D7E3
L118,Light Blue,#00E1EB
L724,Ocean Blue,#69E1EB
L144,No Colour Blue,#5AE1E6
L725,Old Steel Blue,#BEF2F3
L117,Steel Blue,#B4FAF5
L140,Summer Blue,#87F0EB
